RowID,PolType,PolicyNo,ForeName,Surname,Addr1,Addr2,Addr3,Postcode,DOB,mobile,eMail,RegNo,DrvLicNo,DeviceID,ABICode,ALFKey,Date_Inc,Date_Exp,OrinDate,CanDate
0,Van,VAN305242835,ALEXANDER,King,750 Grange Road,Southampton,Hampshire,SO374NQ,04/12/43,07818882269,ALEXANDERKing@vodafone.uk,LQ89AZO,King62635772,d54414955,abi78543649659,ALF9684865,10/06/15,29/03/17,25/05/16,21/07/16
1,Loans,LOA393888624,ROSIE,Patel,775 Grange Avenue,Norwich,Norfolk,NH298AP,07/11/81,07026874015,RPatel@plusnet.com,,,d83439634,,ALF0999954,20/03/19,20/04/19,17/05/17,30/10/15
2,MP,MP8961740617,ALBIE,Clarke,543 Springfield Road,York,North Yorkshire,YK980LC,03/05/01,07012828361,ALBIEClarke636@bt.com,LH07YNQ,Clarke61260047,d9507381,abi89575281707,ALF3257856,27/09/16,25/12/15,08/09/16,23/11/16
3,HH,HH0221835841,HARPER,Roberts,808 Sycamore Avenue,Glasgow,Clyde,GW998WC,04/01/90,07739881204,HARPERRoberts@virginmail.com,,,d6865256,,ALF1749285,04/05/18,10/08/18,20/11/16,27/12/17
4,Loans,LOA670365433,ARLO,Watson,989 Falcon Close,Derby,Derbyshire,DB500JI,09/01/65,07054181729,ARLO_Watson131@vodafone.uk,,,d57335560,,ALF6786495,05/02/18,29/06/17,12/07/17,22/02/17
5,Travel,TRA272901394,DARCY,Holmes,339 Parliament Reach,Huddersfield,West Yorkshire,HD280KS,20/08/83,07152228730,DARCYHolmes673@godaddy.com,,,d43754049,,ALF0774188,06/07/16,01/03/15,09/06/15,28/08/18
6,MP,MP2093020632,HARRY,Clarke,759 Kings Road,Brighton,East Sussex,BN345JE,17/01/66,07582560511,HClarke@ee.com,WT97XNJ,Clarke75549350,d67312483,abi68110323283,ALF2590604,24/12/17,29/04/17,10/11/17,05/05/17
7,Van,VAN450223527,ELEANOR,Wright,719 Parkway,Stockton-on-Tees,County Durham,SK222YS,04/10/35,07738756429,ELEANORWright199@hotmail.com,XW22FLH,Wright87143841,d64500764,abi25904628328,ALF8459088,19/08/17,22/02/17,22/11/17,26/03/18
8,MP,MP9522132630,ELIJAH,Jones,807 Park Avenue,Derby,Derbyshire,DB252QR,26/07/73,07844118958,E_Jones@ee-mail.uk.com,QV09UHT,Jones33015626,d92827483,abi92977931051,ALF7095665,26/05/17,19/05/15,11/06/15,09/03/15
9,HH,HH6338301423,ROBYN,Price,395 Kirklatch Court,Dundee,Angus,DD666OB,26/02/90,07531850258,RPrice@ee.co.uk,,,d69778863,,ALF5531725,23/11/16,03/11/17,14/08/17,27/03/15
